8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
8	1	8
8	1	9
8	1	5
3	11	3
3	11	7
2	4	2
2	4	1
2	4	0
3	11	3
3	11	7
3	11	3
3	11	7
2	4	2
2	4	1
2	4	0
3	11	3
3	11	7
3	11	3
3	11	7
3	11	3
3	11	7
2	4	2
2	4	1
2	4	0
2	4	2
2	4	1
2	4	0
